status,error_message,method,shape,size,T,H,W,noise_std,seed,speed,direction_deg,vx_gt,vy_gt,vx_hat,vy_hat,endpoint_error,speed_error,angular_error_deg,success_at_0.1,success_at_0.2,success_at_0.5,runtime_sec,top1_score,top2_score,peak_ratio,peak_margin
ok,,phase,disk,5.0,64,128,128,0.0,1,0.25,45.0,0.1767766952966369,0.1767766952966368,0.1666666666666665,0.1666666666666665,0.0142977396044843,0.0142977396044843,0.0,True,True,True,46.24779571639374,36172.43591454897,34740.75539371233,1.0412104027276206,1431.6805208366422
ok,,phase,disk,5.0,64,128,128,0.0,2,0.25,45.0,0.1767766952966369,0.1767766952966368,0.1666666666666665,0.1666666666666665,0.0142977396044843,0.0142977396044843,0.0,True,True,True,46.38345123641193,36172.43591454897,34740.75539371233,1.0412104027276206,1431.6805208366422
ok,,phase,disk,5.0,64,128,128,0.0,4,0.25,45.0,0.1767766952966369,0.1767766952966368,0.1666666666666665,0.1666666666666665,0.0142977396044843,0.0142977396044843,0.0,True,True,True,46.10149283334613,36172.43591454897,34740.75539371233,1.0412104027276206,1431.6805208366422
ok,,phase,disk,5.0,64,128,128,0.0,3,0.25,45.0,0.1767766952966369,0.1767766952966368,0.1666666666666665,0.1666666666666665,0.0142977396044843,0.0142977396044843,0.0,True,True,True,46.38902231026441,36172.43591454897,34740.75539371233,1.0412104027276206,1431.6805208366422
ok,,phase,disk,5.0,16,128,128,0.05,0,0.25,45.0,0.1767766952966369,0.1767766952966368,0.2000000000000001,0.1666666666666665,0.0253285325323848,0.0103416558635551,5.1944289077348,True,True,True,47.05994645040482,23862.723713998523,23848.553439080988,1.0005941775442997,14.170274917534698
ok,,phase,disk,5.0,16,128,128,0.05,2,0.25,45.0,0.1767766952966369,0.1767766952966368,0.1666666666666665,0.2000000000000001,0.0253285325323848,0.0103416558635551,5.1944289077348,True,True,True,46.53136026160792,23882.11480356781,23866.60591633948,1.0006498153647274,15.508887228330424
ok,,phase,disk,5.0,16,128,128,0.05,1,0.25,45.0,0.1767766952966369,0.1767766952966368,0.1666666666666665,0.1666666666666665,0.0142977396044843,0.0142977396044843,0.0,True,True,True,46.78670611185953,24151.464269992328,24028.790585117684,1.005105279204132,122.6736848746441
ok,,phase,disk,5.0,16,128,128,0.05,3,0.25,45.0,0.1767766952966369,0.1767766952966368,0.1666666666666665,0.1666666666666665,0.0142977396044843,0.0142977396044843,0.0,True,True,True,46.31643826607615,23722.606338166974,23649.07802134267,1.0031091409465496,73.52831682430406
ok,,phase,disk,5.0,16,128,128,0.05,4,0.25,45.0,0.1767766952966369,0.1767766952966368,0.1666666666666665,0.1666666666666665,0.0142977396044843,0.0142977396044843,0.0,True,True,True,46.71334056882188,23962.1628084315,23649.280447470446,1.0132301006644169,312.8823609610554
ok,,phase,disk,5.0,32,128,128,0.05,0,0.25,45.0,0.1767766952966369,0.1767766952966368,0.1666666666666665,0.1666666666666665,0.0142977396044843,0.0142977396044843,0.0,True,True,True,47.648701142985374,25951.03567945072,25765.737000938127,1.0071916700269758,185.2986785125904
